Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
634,A'lahn Sumler,G,NKU,Midwest,16,27,3,0.96,0.41,0.3,0.67,0,3,3,1000,0
635,Dallion Johnson,G,PSU,Midwest,10,22,2.14,0.77,0.36,0.18,0.23,0,2.14,2.99,1000,0
636,Nate Clover,C,ORAL,East,12,15,1.87,1.4,0,0.27,0.53,0.47,1.87,2.43,1000,0
637,Chris Craig,G,TXSO,East,16,23,2.96,2.26,0.35,0.65,0.7,0.17,2.96,2.96,1000,0
638,Khalen Robinson,G,TXAM,Midwest,7,18,1.83,0.61,0.56,0.33,0.56,0,1.83,2.93,1000,0
639,Hubertas Pivorius,G,NKU,Midwest,16,29,2.93,0.59,0.55,0.1,0.48,0,2.93,2.93,1000,0
640,Austin Nunez,G,ASU,West,11,28,4.5,1.14,0.86,0.68,1.18,0.04,2.25,2.93,1000,0
641,Demarion Watson,G,ISU,Midwest,6,28,1.71,2.64,0.36,0.32,0.54,0.54,1.71,2.91,1000,0
642,Kijani Wright,F,USC,East,10,28,1.96,1.86,0.32,0.07,0.39,0.46,1.96,2.75,1000,0
643,Javonte Brown,F,TXAM,Midwest,7,7,1.71,1.57,0.14,0,0.14,0.29,1.71,2.74,1000,0
644,Christian Watson,G,MIA,Midwest,5,10,1.7,0.5,0.1,0,0.1,0,1.7,2.89,1000,0
645,Demari Williams,G,ORAL,East,12,18,2.22,0.72,0.17,0.11,0.17,0.06,2.22,2.89,1000,0
646,Carson Cooper,C,MSU,East,7,27,1.44,0.7,0.07,0.15,0.26,0.26,1.44,2.31,1000,0
647,Jed Miller,G,MTST,East,14,14,2.86,1.07,0.93,0.64,0.14,0.07,2.86,2.86,1000,0
648,Cole Bott,F,TX,Midwest,2,9,0.67,0.56,0,0.11,0,0.11,0.67,2.67,1000,0
649,Josiah Harris,F,WVA,South,9,17,1.76,0.88,0.12,0.24,0.24,0,1.76,2.65,1000,0
650,Brian Waddell,F,PURD,East,1,17,0.53,0.65,0.41,0.06,0.35,0,0.53,2.65,1000,0
651,Aidan Igiehon,F,GCU,West,14,31,2.65,3.35,0.23,0.13,0.74,0.39,2.65,2.65,1000,0
652,Sadraque NgaNga,G,BSU,West,10,17,2,1.53,0.29,0.24,0.53,0,2,2.8,1000,0
653,Isaiah Gaines,F,FLA-ATL,East,9,25,1.76,1.64,0.24,0.24,0.44,0.16,1.76,2.64,1000,0
654,Sadiku Ibine Ayo,F,IONA,West,13,24,2.58,1.5,0.21,0.38,0.42,0.25,2.58,2.58,1000,0
655,Jasman Sangha,F,AMCC,South,16,14,2.57,1.71,0.36,0.21,0.71,0.21,2.57,2.57,1000,0
656,Tyler Powell,G,NEV,West,11,32,2.09,1.03,0.28,0.16,0.38,0.03,2.09,2.72,1000,0
657,Reece Brown,F,HOW,West,16,9,2.56,1.22,0.67,0.22,0.78,0.11,2.56,2.56,1000,0
658,Tyrese Nickelson,G,AMCC,South,16,24,2.71,1.04,0.88,0.42,0.71,0.08,2.71,2.71,1000,0
659,Carter Whitt,G,FUR,South,13,27,2.7,1.7,2.19,0.41,1.3,0.11,2.7,2.7,1000,0
660,Greg Gantt,F,NCST,South,11,22,1.95,4.5,0.36,0.86,0.55,0.45,1.95,2.54,1000,0
661,Jourdyn Grandberry,G,AMCC,South,16,26,2.69,0.77,0.46,0.42,0.65,0.12,2.69,2.69,1000,0
662,Pavle Kuzmanovic,G,BSU,West,10,23,1.91,0.48,0.43,0.13,0.61,0,1.91,2.68,1000,0
663,Ben Shtolzberg,G,CREI,South,6,16,1.56,0.88,0.69,0.25,0.25,0,1.56,2.66,1000,0
664,Delrecco Gillespie,F,KENT-ST,Midwest,13,24,2.46,1.71,0.08,0.13,0.5,0.08,2.46,2.46,1000,0
665,Silas Mason,F,UNC-ASH,West,15,11,2.45,0.64,0.18,0.18,0.64,0.18,2.45,2.45,1000,0
666,Jordan Gilliam,G,TXSO,East,16,27,2.59,2.26,1.44,0.41,0.74,0.19,2.59,2.59,1000,0
667,Rafael Castro,F,PROV,East,11,26,1.85,2.12,0.31,0.38,0.31,0.5,1.85,2.4,1000,0
668,Cole LaRue,F,KENN,Midwest,14,18,2.39,1.67,0.11,0.06,0.83,0.06,2.39,2.39,1000,0
669,Chancellor White,G,LA,East,13,15,2.53,1.47,0.27,0.13,0.67,0.2,2.53,2.53,1000,0
670,Grayson Carter,F,TXSO,East,16,19,2.37,2.63,0.37,0.11,0.42,0.16,2.37,2.37,1000,0
